Polo¾ka           ;Název                         ;M.SK    ;ZV;REF.;DATUM   ;CAS     ;UZIVATEL   ;CENA       
129007            ;NIROSTABLECH 2,5/1500/3000    ;D030    ;1 ;VO1 ;04/09/20;07:03:10;MIRKA      ;    5003.10
13010119          ;BRAKE SHOE                    ;D110    ;82;S53 ;04/09/20;14:15:17;BEDM       ;    3510.00
147843            ;6KT.¹roub M8x16 ISO 4017      ;D040    ;1 ;VK3 ;09/09/20;06:57:23;MIRKA      ;       0.55
182500            ;Paleta EUR                    ;V613    ;1 ;VAUT;25/08/20;08:06:23;THONOVAP   ;     171.20
190991            ;SCHEIBE                       ;D040    ;1 ;VO3 ;01/09/20;08:02:00;THONOVAP   ;       0.17
200520            ;OIL GH6-220 22L-KLUEBERSYNTH  ;D070    ;82;S72 ;19/08/20;06:13:38;MIRKA      ;   10450.00
200605            ;TRHACÍ NÝT                    ;D040    ;1 ;VO3 ;27/08/20;12:48:28;THONOVAP   ;       0.48
200608            ;TRHACÍ NÝT                    ;D040    ;1 ;VO3 ;27/08/20;12:48:45;THONOVAP   ;       0.67
200861            ;©ROUB M3X20                   ;V309    ;1 ;VO3 ;03/09/20;08:08:12;THONOVAP   ;       1.80
3111727100700011  ;podlo¾ka 6,6 ZN DIN 440       ;V311    ;81;PK50;27/08/20;14:08:01;THONOVAP   ;       0.20
3414137210180000  ;KABEL HO5VV5-F7G1   /7X1      ;V471    ;1 ;VO5 ;27/08/20;09:29:18;THONOVAP   ;      33.75
3456117218080000  ;RELé 4P 5A MY4IN 48DC S       ;V471    ;2 ;S24 ;20/08/20;10:39:36;NETOPILP   ;     143.22
3456117218090000  ;PATICE PYF-14-PU BY OMB       ;V471    ;2 ;S24 ;20/08/20;10:42:13;NETOPILP   ;     104.94
3456117218100000  ;SVODIè PøEPìTí DA-275 V/3+1   ;V471    ;2 ;S24 ;02/09/20;09:22:34;NETOPILP   ;    2503.20
348LEDUS80000000  ;SVÍTIDLO NOUZOVÉ LEDUS8       ;V348    ;1 ;VO8 ;03/09/20;10:46:48;MIRKA      ;     517.73
357020401202N509  ;ROZVODNICE_040A,DIN,SKL2      ;V357    ;1 ;VO5 ;08/09/20;09:33:58;THONOVAP   ;    5265.00
357021001246N060  ;ROZVODNICE 100A,DIN,SKL2      ;V357    ;1 ;VO5 ;26/08/20;12:53:52;THONOVAP   ;   14936.00
357021601246N060  ;ROZVODNICE 160A,DIN,SKL2      ;V357    ;1 ;VO5 ;26/08/20;12:53:16;THONOVAP   ;   22955.45
35A04145          ;výplò ocelová bez nátìru      ;V592    ;1 ;VO8 ;18/08/20;07:03:56;THONOVAP   ;    9939.00
35A10063          ;výplò ocelová bez nátìru      ;V592    ;1 ;VO8 ;01/09/20;13:34:50;MIRKA      ;   27152.00
35T06016          ;výplò ocelová s nátìrem       ;V592    ;1 ;VO8 ;11/09/20;07:32:30;THONOVAP   ;    5680.00
35T06181          ;výplò ocelová s nátìrem       ;V592    ;1 ;VO8 ;11/09/20;07:37:27;THONOVAP   ;   29239.00
363ESG32SK53336Z  ;NAHRADNI PANEL OBLOZENI SKLO E;V471    ;1 ;VO5 ;20/08/20;10:46:35;THONOVAP   ;     379.00
363ESG47SB2426KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;04/09/20;10:09:51;THONOVAP   ;    6569.00
363ESG47SB2428KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;08/09/20;10:37:57;MIRKA      ;    8763.00
363ESG47SE7868KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;27/08/20;07:51:58;THONOVAP   ;    3750.00
363ESG47SQT129KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;10/09/20;09:57:09;MIRKA      ;    4624.00
363ESG47SU2998KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;11/09/20;09:24:07;THONOVAP   ;    1935.00
363ESG47SU7838KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;10/09/20;11:55:15;MIRKA      ;    3280.00
363ESG47SY5284KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;03/09/20;12:04:47;MIRKA      ;    4170.00
363ESG47SY5285KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;04/09/20;06:53:19;THONOVAP   ;    2494.00
363ESG47SY5286KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;04/09/20;06:54:39;THONOVAP   ;    1792.00
363ESG47SY5287KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;04/09/20;06:55:56;THONOVAP   ;    6159.00
363ESG47SY5288KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;04/09/20;06:58:52;THONOVAP   ;    4603.00
363ESGG3KEG233KK  ;Sada oblo¾ení ESG             ;V471    ;1 ;VO5 ;27/08/20;08:24:28;THONOVAP   ;    3838.00
363LAM47SE7868KR  ;sada oblo¾ení laminát         ;V471    ;1 ;VO5 ;27/08/20;07:53:37;THONOVAP   ;    9133.00
363LAM47SU2998KR  ;sada oblo¾ení laminát         ;V471    ;1 ;VO5 ;11/09/20;09:25:06;THONOVAP   ;    3587.00
363VSG47SB2426KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;04/09/20;10:10:15;THONOVAP   ;    3647.00
363VSG47SB2428KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;08/09/20;10:38:30;MIRKA      ;    4414.00
363VSG47SE7868KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;27/08/20;07:52:23;THONOVAP   ;    4718.00
363VSG47SQT129KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;10/09/20;09:58:13;MIRKA      ;    1733.00
363VSG47SY5284KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;03/09/20;12:05:38;MIRKA      ;    1777.00
363VSG47SY5285KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;04/09/20;06:53:42;THONOVAP   ;    1685.00
363VSG47SY5286KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;04/09/20;06:55:15;THONOVAP   ;    1792.00
363VSG47SY5287KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;04/09/20;06:56:13;THONOVAP   ;    3020.00
363VSG47SY5288KK  ;Strop TVG sklo 2VTSY506Z      ;V471    ;1 ;VO5 ;04/09/20;06:59:21;THONOVAP   ;    2974.00
3712813344680001  ;Odpor I-Select2Plug 3,83 kOhm ;V371    ;1 ;VO2 ;27/08/20;12:37:28;THONOVAP   ;       9.50
3RH2921-2DA11     ;AUXILIARY CONTACT             ;D110    ;81;P57 ;08/09/20;09:10:11;THONOVAP   ;     124.84
3RH2921-2DA11     ;AUXILIARY CONTACT             ;D110    ;82;S57 ;08/09/20;09:09:58;THONOVAP   ;     124.84
3VTCP132T1038C    ;FOLIE_BRANDING                ;V470    ;1 ;VO5 ;26/08/20;13:50:46;THONOVAP   ;     330.00
3VTCP132T1039C    ;FOLIE_BRANDING                ;V470    ;1 ;VO5 ;26/08/20;13:51:21;THONOVAP   ;     330.00
3VTCP132T1040C    ;FOLIE_BRANDING                ;V470    ;1 ;VO5 ;26/08/20;13:51:55;THONOVAP   ;     330.00
3VTCP132T1041C    ;FOLIE_BRANDING                ;V470    ;1 ;VO5 ;02/09/20;12:17:50;MIRKA      ;     330.00
3VTEC509T+10M     ;vodiè XREML 2N                ;V341    ;1 ;VO8 ;01/09/20;08:17:46;MIRKA      ;     523.00
3VTMO198T400N     ;KABEL DOB                     ;V341    ;1 ;VO8 ;10/09/20;08:24:34;MIRKA      ;      85.20
3WTEK503T10MN     ;vodiè RS-1CB Otis 2000        ;V341    ;1 ;VO5 ;25/08/20;07:37:59;THONOVAP   ;     125.73
3WTEK507N010N     ;vodiè PI10                    ;V341    ;1 ;VO5 ;25/08/20;07:40:58;THONOVAP   ;      58.10
4700000501550000  ;OPRAVA UPS                    ;V471    ;2 ;S24 ;11/09/20;12:20:00;NETOPILP   ;     550.00
4700310004340000  ;BK_OR LK300 0,7M/S CíV.A3 24V ;V471    ;2 ;S24 ;27/08/20;10:59:59;NETOPILP   ;    7400.00
4700310004350000  ;PáS STM-PV30                  ;V471    ;2 ;S24 ;28/08/20;09:59:52;NETOPILP   ;     494.88
4700310004360000  ;OBKLAD FUNDERMAX M001 500X2050;V471    ;2 ;S24 ;28/08/20;12:37:30;NETOPILP   ;    2350.00
4700310004370000  ;UPS LEGRAND KEOR SP 1000VA/600;V471    ;2 ;S24 ;31/08/20;12:42:40;NETOPILP   ;    2778.20
4700310004380000  ;UPS - APC BACK-UPS BX 1400    ;V471    ;2 ;S24 ;31/08/20;14:01:04;NETOPILP   ;    3346.00
4700310004390000  ;DEZINFEKèNí GEL VIRUSEPT 125ML;V471    ;2 ;S24 ;03/09/20;07:00:33;NETOPILP   ;      54.00
4700310004400000  ;LATEX.RUKAVICE BOORNE VEL. XL ;V471    ;2 ;S24 ;04/09/20;12:55:17;NETOPILP   ;     199.00
4700310004410000  ;KRYT DU - WOJTASZAK           ;V471    ;2 ;S24 ;09/09/20;09:01:32;NETOPILP   ;     690.00
4700310004420000  ;RESPIRáTOR REFIL 730 FFP2     ;V471    ;2 ;S24 ;11/09/20;06:18:13;NETOPILP   ;      39.00
4700310004430000  ;RUKAVICE NITRIL. SPOONBILL XL ;V471    ;2 ;S24 ;11/09/20;06:21:45;NETOPILP   ;     249.00
4700342055420000  ;ULTRA DRIVE GAA21305AEB20     ;V471    ;2 ;S24 ;17/08/20;07:12:16;NETOPILP   ;   63974.15
4700342055430000  ;MADLO MAA139AB996-610MM       ;V471    ;2 ;S24 ;21/08/20;09:03:19;NETOPILP   ;     134.65
4700342055440000  ;GUIDE SHOE 8060062            ;V471    ;2 ;S24 ;24/08/20;07:18:52;NETOPILP   ;    1373.18
4700342055450000  ;TLAèíTKO "0" EB42_VII-37-01-00;V471    ;2 ;S24 ;24/08/20;14:12:45;NETOPILP   ;     288.15
4700342055460000  ;CíVKA GSD135.6010 230V        ;V471    ;2 ;S24 ;25/08/20;14:21:28;NETOPILP   ;   31798.50
4700342055470000  ;BK_NáRAZNíK ACL-300412        ;V471    ;2 ;S24 ;27/08/20;10:55:14;NETOPILP   ;     954.21
4700342055480000  ;TOOL-BELT CLEANER JBA20141ACE1;V471    ;2 ;S24 ;28/08/20;09:58:35;NETOPILP   ;   39564.53
4700342055490000  ;BK_OR BODE EAA20600BOD024     ;V471    ;2 ;S24 ;28/08/20;13:19:50;NETOPILP   ;   19952.99
4700342055500000  ;TK 580/5X13 PT58450375        ;V471    ;2 ;S24 ;31/08/20;07:31:18;NETOPILP   ;    7874.40
4700342055510000  ;SWITCH - ERO BUTTON FAA177FF2 ;V471    ;2 ;S24 ;31/08/20;12:45:51;NETOPILP   ;     161.93
4700342055520000  ;LANKO FAA712K998-OP800        ;V471    ;2 ;S24 ;31/08/20;13:39:25;NETOPILP   ;     146.37
4700342055530000  ;SKLíèKO DISPLEJE FDA278BG7    ;V471    ;2 ;S24 ;01/09/20;12:46:33;NETOPILP   ;     737.21
4700342055540000  ;práh FAA280CF7 pro dveøe D2200;V471    ;2 ;S24 ;02/09/20;07:51:45;POLACH     ;    3177.05
4700342055550000  ;UNA¹Eè 170000D013_01 PRAVý    ;V471    ;2 ;S24 ;03/09/20;07:09:33;NETOPILP   ;    2707.08
4700342055560000  ;CíVKA 48 VDC  TCA26900B10     ;V471    ;2 ;S24 ;04/09/20;07:06:52;NETOPILP   ;     426.62
4700342055570000  ;HMATNíK KNE-KM804340G090      ;V471    ;2 ;S24 ;04/09/20;09:41:56;NETOPILP   ;     618.89
4700342055580000  ;SADA TESNìNí OHF PR. 60MM     ;V471    ;2 ;S24 ;08/09/20;12:21:23;NETOPILP   ;    1785.00
4700342055590000  ;SADA TìSNìNí VENTILU TYPU KV1 ;V471    ;2 ;S24 ;08/09/20;12:24:21;NETOPILP   ;    1249.50
4700342055600000  ;BK_DU DLF1 L/R x35.20, IP 54  ;V471    ;2 ;S24 ;08/09/20;12:27:08;NETOPILP   ;    4845.00
4700342055610000  ;ROLLER SWITCH WITH JUMPER     ;V471    ;2 ;S24 ;08/09/20;12:29:22;NETOPILP   ;     892.50
4700342055620000  ;ROLLER SWITCH, MECHANIC.CLOSUR;V471    ;2 ;S24 ;08/09/20;12:32:03;NETOPILP   ;    1785.00
4700342055630000  ;ROLLER SWITCH ASH ENM2        ;V471    ;2 ;S24 ;08/09/20;13:44:57;NETOPILP   ;    2422.50
4700342055640000  ;SAMOMAZ 86375G09              ;V471    ;2 ;S24 ;10/09/20;12:39:42;NETOPILP   ;     582.42
4700342055650000  ;BK_DU T2 LEFT 4106RCVR0020    ;V471    ;2 ;S24 ;11/09/20;06:09:55;NETOPILP   ;    2554.59
4700342055660000  ;VODIè DVEøí KNE-KM51160137_4KS;V471    ;2 ;S24 ;11/09/20;06:35:11;NETOPILP   ;     526.58
4700342055670000  ;KONZOLA TAA316BTM1            ;V471    ;2 ;S24 ;11/09/20;06:39:29;NETOPILP   ;   11438.54
4700342055680000  ;stykaè EAA638SIE1             ;V471    ;2 ;S24 ;11/09/20;06:47:45;POLACH     ;     325.89
4700346002050000  ;VÝLISEK PLAST - GAA402BNF5 (P);V471    ;2 ;S24 ;19/08/20;07:21:27;NETOPILP   ;      25.75
4700346009610000  ;SHELL GAA402CAA17             ;V471    ;2 ;S24 ;19/08/20;07:12:54;NETOPILP   ;     596.19
4700346009620000  ;VEDENí MADLA GAA402BYEB1-AY22 ;V471    ;2 ;S24 ;26/08/20;06:55:05;NETOPILP   ;    2095.38
4700346009630000  ;VEDENí MADLA GAA402BXEB1-BO12 ;V471    ;2 ;S24 ;26/08/20;07:12:01;NETOPILP   ;    2244.70
4700346009640000  ;RFSS DAA26803NNP1             ;V471    ;2 ;S24 ;26/08/20;12:58:14;NETOPILP   ;    1377.69
4700346009650000  ;RS24R BOARD DAA26803NNN1      ;V471    ;2 ;S24 ;26/08/20;13:02:10;NETOPILP   ;     639.91
4700346009660000  ;øETìZ GAA332AS6-046           ;V471    ;2 ;S24 ;28/08/20;09:58:55;NETOPILP   ;    1901.58
4700346009670000  ;STEP CHAIN DAA26150A14        ;V471    ;2 ;S24 ;28/08/20;09:59:14;NETOPILP   ;   15368.94
4700346009680000  ;STEP CHAIN DAA26150A11        ;V471    ;2 ;S24 ;28/08/20;09:59:32;NETOPILP   ;    1500.83
4700346009690000  ;BRZDOVé OBLO¾. ESC 13010119   ;V471    ;2 ;S24 ;04/09/20;06:43:52;NETOPILP   ;    3868.55
470034EHC2600000  ;MADLO GAA50ANT-30533MM        ;V471    ;2 ;S24 ;04/09/20;13:39:13;NETOPILP   ;   22485.14
470034ESP2610000  ;NAPíNACí ZáVA¾í OR TAA22800N24;V471    ;2 ;S24 ;08/09/20;13:52:41;NETOPILP   ;     529.38
470034ESP2620000  ;TOCI TDA24831C260G1           ;V471    ;2 ;S24 ;11/09/20;08:57:17;NETOPILP   ;    2296.28
470034HAV0010000  ;dovíraè DJD-1 1742            ;V471    ;2 ;S24 ;14/09/20;07:44:18;POLACH     ;     813.10
470034HAV0020000  ;¹palík gumový 50 2012         ;V471    ;2 ;S24 ;14/09/20;07:46:40;POLACH     ;      39.00
470034HAV0030000  ;kladka pry¾ OR PKL  2076      ;V471    ;2 ;S24 ;14/09/20;07:49:32;POLACH     ;      28.00
470034HAV0040000  ;sil.vylo¾ení 50/50/5 2327     ;V471    ;2 ;S24 ;14/09/20;07:52:07;POLACH     ;      20.00
470034HAV0050000  ;ruèní kolo 4W-9013-01 2528    ;V471    ;2 ;S24 ;14/09/20;07:55:36;POLACH     ;    1000.00
470034HAV0060000  ;lo¾isko podpìr H245 S4 2766   ;V471    ;2 ;S24 ;14/09/20;07:58:59;POLACH     ;    2400.00
470034HAV0070000  ;øemen Metron ZR XL180 3257    ;V471    ;2 ;S24 ;14/09/20;08:01:34;POLACH     ;      68.05
470034HAV0080000  ;sklo ©D 3579                  ;V471    ;2 ;S24 ;14/09/20;08:04:17;POLACH     ;      35.26
4704060000158001  ;ENCODER_ITD_20_B14_Y_1_1024_H ;D010    ;1 ;VO1 ;02/09/20;13:12:41;MIRKA      ;   18800.00
4704060000158002  ;ENCODER                       ;D010    ;1 ;VO1 ;20/08/20;08:29:52;RADOCHAF   ;   14623.20
470KLM5206130080  ;KLADKA PR.520MM-6X PR. 13MM   ;V470    ;1 ;VO2 ;02/09/20;13:57:47;THONOVAP   ;    6367.00
470LEO0034S5545A  ;MACHINE_LEO                   ;V470    ;1 ;VO2 ;10/09/20;09:43:29;MIRKA      ;   42305.24
470LEO0075SADT63  ;MACHINE_LEO                   ;V470    ;1 ;VO2 ;08/09/20;08:13:24;THONOVAP   ;   56740.30
470LEO0075SU915Z  ;MACHINE_LEO                   ;V470    ;1 ;VO2 ;11/09/20;09:27:30;MIRKA      ;   53831.50
470TRSHEAVE450    ;TRACTION SHEAVE 450-4X11      ;V471    ;1 ;VO2 ;08/09/20;08:11:46;THONOVAP   ;    9463.30
47100000M7850000  ;FMI G2M-MRL-ADAPTER-OTIS2000  ;V471    ;1 ;VO6 ;18/08/20;08:08:48;THONOVAP   ;       1.07
47100000M7870000  ;FIM G2M MRL, GB/NL            ;V471    ;1 ;VO6 ;01/09/20;14:13:46;THONOVAP   ;      52.90
47100000M8060000  ;FIM e-Motion GCS, GB/CZ       ;V471    ;1 ;VO6 ;04/09/20;08:20:12;THONOVAP   ;      15.27
4710001008510000  ;MOTOR SUPRA 2C2A902195G03     ;V471    ;2 ;S24 ;20/08/20;09:37:01;NETOPILP   ;   21802.50
4710001008520000  ;AUTOM. KD FERM.4PC850/795/2000;V471    ;2 ;S24 ;21/08/20;07:52:49;NETOPILP   ;   29169.00
4710001008530000  ;LANKO L=5640 Z2102Z103564     ;V471    ;2 ;S24 ;24/08/20;08:57:10;NETOPILP   ;     635.21
4710001008540000  ;LANKO 320105.4001/1205        ;V471    ;2 ;S24 ;24/08/20;09:00:08;NETOPILP   ;     439.62
4710001008550000  ;ZARá¾KA 3201.23.1650T62       ;V471    ;2 ;S24 ;24/08/20;09:02:14;NETOPILP   ;    1225.00
4710001008560000  ;PRáH T80 3201.16.0190P250     ;V471    ;2 ;S24 ;31/08/20;10:15:12;NETOPILP   ;   16269.00
4710001008570000  ;ZDROJ WLS 1001004A01          ;V471    ;2 ;S24 ;31/08/20;13:29:44;NETOPILP   ;    2004.56
4710001008580000  ;øEMEN MIDI/SUPRA 3201.05.7315 ;V471    ;2 ;S24 ;07/09/20;10:22:16;NETOPILP   ;     702.53
4710001008590000  ;KONZOLKA DU CST-5000.RI000    ;V471    ;2 ;S24 ;09/09/20;07:24:03;NETOPILP   ;     375.00
4710190027240000  ;VODÍCÍ ÈELIST - 4WTEP003Z     ;V471    ;2 ;S24 ;04/09/20;12:50:05;NETOPILP   ;     137.00
4710190030540000  ;POZ.SYSTéM HYDRO S PáSKOU 20 M;V471    ;2 ;S24 ;19/08/20;10:16:05;NETOPILP   ;    9020.00
